Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,8,33,13400
ASIANPAINT,60417,600,-16,19,-13400
AXISBANK,1510401,1200,-27,29,-38200
BAJAJ-AUTO,4267265,250,-53,27,-18650
BAJFINANCE,81153,250,-91,28,-28350
BAJAJFINSV,4268801,125,199,27,19475
BPCL,134657,1800,12,25,16600
BHARTIARTL,2714625,1851,-7,53,-23557
INFRATEL,7458561,2000,9,29,12200
BRITANNIA,140033,200,90,25,13000
CIPLA,177665,1000,-12,31,-18200
COALINDIA,5215745,2200,0,24,-4800
DRREDDY,225537,250,-36,30,-15000
EICHERMOT,232961,25,295,27,1975
GAIL,1207553,5334,2,32,4268
GRASIM,315393,750,14,43,1900
HCLTECH,1850625,700,0,32,-6400
HDFCBANK,341249,250,9,36,-4950
HEROMOTOCO,345089,200,15,35,-4000
HINDALCO,348929,3500,10,39,27200
HINDUNILVR,356865,300,-35,29,-16300
HDFC,340481,500,9,35,-2500
ICICIBANK,1270529,1375,15,35,13625
ITC,424961,2400,-15,41,-44200
IBULHSGFIN,7712001,800,44,44,26400
IOC,415745,3500,0,29,-5800
INDUSINDBK,1346049,400,62,41,16600
INFY,408065,1200,0,34,-6800
JSWSTEEL,3001089,2000,1,35,-5000
KOTAKBANK,492033,400,-41,41,-24600
LT,2939649,375,16,29,200
M&M,519937,1000,-6,33,-12600
MARUTI,2815745,75,-345,35,-32875
NTPC,2977281,4800,-1,23,-9400
ONGC,633601,3750,0,24,-4800
POWERGRID,3834113,4000,1,28,-1600
RELIANCE,738561,500,5,27,-2900
SBIN,779521,3000,2,39,-1800
SUNPHARMA,857857,1100,-6,35,-13600
TCS,2953217,250,-79,29,-25550
TATAMOTORS,884737,3000,5,36,7800
TATASTEEL,895745,1061,16,54,6176
TECHM,3465729,1200,-31,29,-43000
TITAN,897537,750,-21,35,-22750
UPL,2889473,900,-6,32,-11800
ULTRACEMCO,2952193,200,86,33,10600
VEDL,784129,3000,1,45,-6000
WIPRO,969473,3200,-6,22,-23600
YESBANK,3050241,2200,8,53,7000
ZEEL,975873,1300,-27,31,-41300
