Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,1,39,-5300
ASIANPAINT,60417,600,-4,38,-10000
AXISBANK,1510401,1200,35,47,32600
BAJAJ-AUTO,4267265,250,-33,39,-16050
BAJFINANCE,81153,250,231,54,46950
BAJAJFINSV,4268801,125,-570,35,-78250
BPCL,134657,1800,18,51,22200
BHARTIARTL,2714625,1851,13,56,12863
INFRATEL,7458561,2000,0,45,-9000
BRITANNIA,140033,200,41,41,0
CIPLA,177665,1000,21,26,15800
COALINDIA,5215745,2200,4,42,400
DRREDDY,225537,250,110,44,18700
EICHERMOT,232961,25,2036,24,46100
GAIL,1207553,5334,2,43,2068
GRASIM,315393,750,5,29,-2050
HCLTECH,1850625,700,126,43,79600
HDFCBANK,341249,250,43,43,2150
HEROMOTOCO,345089,200,131,34,19400
HINDALCO,348929,3500,-4,56,-25200
HINDUNILVR,356865,300,5,28,-4100
HDFC,340481,500,14,39,-800
ICICIBANK,1270529,1375,13,51,7675
ITC,424961,2400,1,36,-4800
IBULHSGFIN,7712001,800,3,64,-10400
IOC,415745,3500,14,52,38600
INDUSINDBK,1346049,400,-62,43,-33400
INFY,408065,1200,7,33,1800
JSWSTEEL,3001089,2000,0,68,-13600
KOTAKBANK,492033,400,0,50,-10000
LT,2939649,375,27,34,3325
M&M,519937,1000,-7,52,-17400
MARUTI,2815745,75,200,31,8800
NTPC,2977281,4800,9,45,34200
ONGC,633601,3750,15,47,46850
POWERGRID,3834113,4000,4,39,8200
RELIANCE,738561,500,93,46,37300
SBIN,779521,3000,-3,56,-20200
SUNPHARMA,857857,1100,5,50,-4500
TCS,2953217,250,88,35,15000
TATAMOTORS,884737,3000,4,34,5200
TATASTEEL,895745,1061,37,45,30257
TECHM,3465729,1200,13,41,7400
TITAN,897537,750,35,50,16250
UPL,2889473,900,17,39,7500
ULTRACEMCO,2952193,200,-2,42,-8800
VEDL,784129,3000,-6,57,-29400
WIPRO,969473,3200,-5,43,-24600
YESBANK,3050241,2200,12,31,20200
ZEEL,975873,1300,22,58,17000
