Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,36,42,81600
ASIANPAINT,60417,600,77,44,37400
AXISBANK,1510401,1200,-37,49,-54200
BAJAJ-AUTO,4267265,250,45,28,5650
BAJFINANCE,81153,250,-36,33,-15600
BAJAJFINSV,4268801,125,40,48,-4600
BPCL,134657,1800,35,41,54800
BHARTIARTL,2714625,1851,17,42,23067
INFRATEL,7458561,2000,7,28,8400
BRITANNIA,140033,200,12,26,-2800
CIPLA,177665,1000,-3,46,-12200
COALINDIA,5215745,2200,15,39,25200
DRREDDY,225537,250,-115,42,-37150
EICHERMOT,232961,25,-2198,39,-62750
GAIL,1207553,5334,1,45,-3666
GRASIM,315393,750,61,36,38550
HCLTECH,1850625,700,-6,32,-10600
HDFCBANK,341249,250,20,45,-4000
HEROMOTOCO,345089,200,38,44,-1200
HINDALCO,348929,3500,5,44,8700
HINDUNILVR,356865,300,-135,48,-50100
HDFC,340481,500,39,45,10500
ICICIBANK,1270529,1375,-17,53,-33975
ITC,424961,2400,-13,47,-40600
IBULHSGFIN,7712001,800,-17,39,-21400
IOC,415745,3500,-7,49,-34300
INDUSINDBK,1346049,400,-36,39,-22200
INFY,408065,1200,9,28,5200
JSWSTEEL,3001089,2000,-14,59,-39800
KOTAKBANK,492033,400,20,41,-200
LT,2939649,375,23,64,-4175
M&M,519937,1000,37,49,27200
MARUTI,2815745,75,-203,36,-22425
NTPC,2977281,4800,-12,42,-66000
ONGC,633601,3750,2,34,700
POWERGRID,3834113,4000,3,32,5600
RELIANCE,738561,500,-16,38,-15600
SBIN,779521,3000,-3,50,-19000
SUNPHARMA,857857,1100,15,48,6900
TCS,2953217,250,55,46,4550
TATAMOTORS,884737,3000,3,40,1000
TATASTEEL,895745,1061,13,65,793
TECHM,3465729,1200,15,40,10000
TITAN,897537,750,58,36,36300
UPL,2889473,900,-15,38,-21100
ULTRACEMCO,2952193,200,10,44,-6800
VEDL,784129,3000,-1,36,-10200
WIPRO,969473,3200,-2,31,-12600
YESBANK,3050241,2200,29,47,54400
ZEEL,975873,1300,48,45,53400
