Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,30,51,64800
ASIANPAINT,60417,600,-14,39,-16200
AXISBANK,1510401,1200,26,40,23200
BAJAJ-AUTO,4267265,250,152,39,30200
BAJFINANCE,81153,250,105,44,17450
BAJAJFINSV,4268801,125,307,40,30375
BPCL,134657,1800,-5,70,-23000
BHARTIARTL,2714625,1851,30,56,44330
INFRATEL,7458561,2000,-3,46,-15200
BRITANNIA,140033,200,78,40,7600
CIPLA,177665,1000,-14,59,-25800
COALINDIA,5215745,2200,14,50,20800
DRREDDY,225537,250,119,33,23150
EICHERMOT,232961,25,108,30,-3300
GAIL,1207553,5334,5,36,19470
GRASIM,315393,750,9,52,-3650
HCLTECH,1850625,700,-3,32,-8500
HDFCBANK,341249,250,-13,38,-10850
HEROMOTOCO,345089,200,161,41,24000
HINDALCO,348929,3500,1,58,-8100
HINDUNILVR,356865,300,4,28,-4400
HDFC,340481,500,71,41,27300
ICICIBANK,1270529,1375,17,54,12575
ITC,424961,2400,0,35,-7000
IBULHSGFIN,7712001,800,184,52,136800
IOC,415745,3500,1,38,-4100
INDUSINDBK,1346049,400,122,47,39400
INFY,408065,1200,0,34,-6800
JSWSTEEL,3001089,2000,7,77,-1400
KOTAKBANK,492033,400,14,44,-3200
LT,2939649,375,-17,45,-15375
M&M,519937,1000,30,48,20400
MARUTI,2815745,75,-160,59,-23800
NTPC,2977281,4800,-3,42,-22800
ONGC,633601,3750,8,38,22400
POWERGRID,3834113,4000,7,38,20400
RELIANCE,738561,500,16,44,-800
SBIN,779521,3000,-7,67,-34400
SUNPHARMA,857857,1100,52,45,48200
TCS,2953217,250,62,38,7900
TATAMOTORS,884737,3000,-4,58,-23600
TATASTEEL,895745,1061,1,40,-6939
TECHM,3465729,1200,20,45,15000
TITAN,897537,750,-74,45,-64500
UPL,2889473,900,33,46,20500
ULTRACEMCO,2952193,200,80,41,7800
VEDL,784129,3000,4,44,3200
WIPRO,969473,3200,8,40,17600
YESBANK,3050241,2200,2,48,-5200
ZEEL,975873,1300,21,67,13900
