Company,Token,Lot_Size,Profit,Trades,Net Profit
ADANIPORTS,3861249,2500,24,48,50400
ASIANPAINT,60417,600,67,50,30200
AXISBANK,1510401,1200,66,70,65200
BAJAJ-AUTO,4267265,250,-72,62,-30400
BAJFINANCE,81153,250,17,62,-8150
BAJAJFINSV,4268801,125,400,52,39600
BPCL,134657,1800,-12,44,-30400
BHARTIARTL,2714625,1851,-21,56,-50071
INFRATEL,7458561,2000,26,73,37400
BRITANNIA,140033,200,274,45,45800
CIPLA,177665,1000,19,50,9000
COALINDIA,5215745,2200,12,54,15600
DRREDDY,225537,250,46,48,1900
EICHERMOT,232961,25,-348,56,-19900
GAIL,1207553,5334,2,68,-2932
GRASIM,315393,750,119,64,76450
HCLTECH,1850625,700,38,47,17200
HDFCBANK,341249,250,0,41,-8200
HEROMOTOCO,345089,200,131,58,14600
HINDALCO,348929,3500,11,51,28300
HINDUNILVR,356865,300,21,57,-5100
HDFC,340481,500,210,64,92200
ICICIBANK,1270529,1375,-12,52,-26900
ITC,424961,2400,20,42,39600
IBULHSGFIN,7712001,800,9,66,-6000
IOC,415745,3500,7,53,13900
INDUSINDBK,1346049,400,54,75,6600
INFY,408065,1200,-10,48,-21600
JSWSTEEL,3001089,2000,18,67,22600
KOTAKBANK,492033,400,53,71,7000
LT,2939649,375,56,64,8200
M&M,519937,1000,14,52,3600
MARUTI,2815745,75,214,64,3250
NTPC,2977281,4800,0,39,-7800
ONGC,633601,3750,7,59,14450
POWERGRID,3834113,4000,1,51,-6200
RELIANCE,738561,500,32,57,4600
SBIN,779521,3000,15,58,33400
SUNPHARMA,857857,1100,14,74,600
TCS,2953217,250,63,52,5350
TATAMOTORS,884737,3000,0,59,-11800
TATASTEEL,895745,1061,0,71,-14200
TECHM,3465729,1200,32,57,27000
TITAN,897537,750,15,60,-750
UPL,2889473,900,-27,57,-35700
ULTRACEMCO,2952193,200,45,47,-400
VEDL,784129,3000,-14,55,-53000
WIPRO,969473,3200,-16,68,-64800
YESBANK,3050241,2200,33,50,62600
ZEEL,975873,1300,29,58,26100
